Site,Job,Pay,Link
DataAnnotation,Go Home,$20.00/hr,https://www.dataannotation.tech/
Alignerr,Hiring across all skills and domains.,$24.00/hr,https://www.alignerr.com/
Alignerr,Audio,$24.00/hr,https://www.alignerr.com/
Alignerr,Video Research Expert - Robotics,$24.00/hr,https://www.alignerr.com/
Alignerr,$18-24/hr,$24.00/hr,https://www.alignerr.com/
Alignerr,Investment Strategy Analyst,$20.00/hr,https://www.alignerr.com/
Alignerr,$60-120/hr,$20.00/hr,https://www.alignerr.com/
Alignerr,Aviation Communications Transcriber (ATC),$30.00/hr,https://www.alignerr.com/
Alignerr,$20-30/hr,$30.00/hr,https://www.alignerr.com/
WorkingNomads,30K+,$15.00/hr,https://www.workingnomads.com/jobs
